,index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt,level_0,Position,inrix_spline_speed
1275,25936,1618527198.4,124.47998585585668,0.059507728238805,31.0,,,-86.6184672,36.0126248,,,0.0,0.0,0.0,0.0,58512.55431918546,-58438.25431918546,318.0640779387013,West,True,,,
1276,25937,1618527198.5,124.5069007708195,0.0658015117428373,31.0,,,-86.6184933,36.012648299999995,,,0.0,0.0,0.0,0.0,58516.06703157154,-58441.76703157154,318.0519625961977,West,True,,,
1277,25938,1618527198.6,124.50438100848888,0.0721809934955456,30.810815795893355,,,-86.6185193,36.0126717,,,0.0,0.0,0.0,0.0,58519.565460901984,-58445.26546090198,317.9299499851173,West,True,,,
1278,25939,1618527198.7,124.5348389285125,0.0786475828336507,30.31169817158429,,,-86.6185453,36.012695,,,0.0,0.0,0.0,0.0,58523.05562754525,-58448.75562754525,317.71149710878154,West,True,,,
1279,25940,1618527198.8,124.51001190930322,0.0852123817151301,30.0,,,-86.6185715,36.0127183,,,0.0,0.0,0.0,0.0,58526.5578723875,-58452.2578723875,318.0519879168186,West,True,,,
1280,25941,1618527198.9,124.66836896570808,0.0919047030695914,30.0,,,-86.61859749999999,36.0127417,,,0.0,0.0,0.0,0.0,58530.05630032829,-58455.756300328285,317.95517196632625,West,True,,,
1281,25942,1618527199.0,124.62841622964396,0.0987774375406236,30.0,,,-86.61862370000001,36.0127652,,,0.0,0.0,0.0,0.0,58533.57502769791,-58459.27502769791,318.1734504006428,West,True,,,
1282,25943,1618527199.1,124.70724105859476,0.1059071244688112,30.0,,,-86.61864969999999,36.0127887,,,0.0,0.0,0.0,0.0,58537.08173272726,-58462.78173272726,317.82057296364246,West,True,,,
1283,25944,1618527199.2,124.71674057130508,0.1133918632318305,30.0,,,-86.61867579999999,36.012812,,,0.0,0.0,0.0,0.0,58540.57793001065,-58466.27793001065,317.9551974020277,West,True,,,
1284,25945,1618527199.3,124.77453717951094,0.121339086537519,30.0,,,-86.618702,36.0128355,,,0.0,0.0,0.0,0.0,58544.09665597247,-58469.79665597247,317.9552058936696,West,True,,,
1285,25946,1618527199.4,124.81,0.1298546999385156,30.0,,,-86.6187282,36.012859000000006,,,0.0,0.0,0.0,0.0,58547.61538146377,-58473.31538146377,317.8205983882481,West,True,,,
1286,25947,1618527199.5,124.82247915508616,0.1390219971897367,30.0,,,-86.61875429999999,36.012882299999994,,,0.0,0.0,0.0,0.0,58551.11157733991,-58476.811577339904,317.8336798826811,West,True,,,
1287,25948,1618527199.6,124.8418027453346,0.1488882237800697,30.0,,,-86.6187805,36.012905700000005,,,0.0,0.0,0.0,0.0,58554.6220522191,-58480.3220522191,317.7115733610491,West,True,,,
1288,25949,1618527199.7,124.8567533278064,0.159444400890532,30.0,,,-86.61880670000001,36.012929,,,0.0,0.0,0.0,0.0,58558.12429282232,-58483.82429282231,317.82062372554,West,True,,,
1289,25950,1618527199.8,124.96773221427364,0.1706195689362412,30.0,,,-86.61883279999999,36.0129523,,,0.0,0.0,0.0,0.0,58561.620487299806,-58487.3204872998,317.61683504433984,West,True,,,
1290,25951,1618527199.9,124.99477005089342,0.1822719349438544,30.0,,,-86.6188592,36.012975700000005,,,0.0,0.0,0.0,0.0,58565.14306158774,-58490.84306158774,317.8206405906155,West,True,,,
1291,25952,1618527200.0,125.00210711013378,0.1941984698658013,30.0,,,-86.6188853,36.012999,,,0.0,0.0,0.0,0.0,58568.63925513162,-58494.33925513162,317.73848467166346,West,True,,,
1292,25953,1618527200.1,125.1470927338709,0.2061419775598867,30.0,,,-86.61891170000001,36.0130225,,,0.0,0.0,0.0,0.0,58572.17004987846,-58497.87004987846,317.84669772500666,West,True,,,
1293,25954,1618527200.2,125.13476915083136,0.2178159869878288,30.0,,,-86.618938,36.013046,,,0.0,0.0,0.0,0.0,58575.69480157931,-58501.39480157931,317.48022619298047,West,True,,,
1294,25955,1618527200.3,125.31427834111469,0.2289237353722014,30.0,,,-86.61896429999999,36.013069200000004,,,0.0,0.0,0.0,0.0,58579.19489403926,-58504.89489403926,317.85957706232404,West,True,,,
1295,25956,1618527200.4,125.3598575488229,0.239190292720789,30.0,,,-86.6189907,36.013092799999995,,,0.0,0.0,0.0,0.0,58582.73392461258,-58508.433924612575,317.8467231453415,West,True,,,
1296,25957,1618527200.5,125.3994983835072,0.248383285780792,30.0,,,-86.619017,36.01311629999999,,,0.0,0.0,0.0,0.0,58586.25867489781,-58511.95867489781,317.8467316342654,West,True,,,
1297,25958,1618527200.6,125.46284169106713,0.2563404718742019,30.0,,,-86.6190433,36.0131398,,,0.0,0.0,0.0,0.0,58589.78342471033,-58515.48342471033,317.98010683037825,West,True,,,
1298,25959,1618527200.7,125.52469576693905,0.262981365630064,30.0,,,-86.61906970000001,36.0131635,,,0.0,0.0,0.0,0.0,58593.33070683764,-58519.03070683764,317.846748725834,West,True,,,
1299,25960,1618527200.8,125.6789631240841,0.2683203868767722,30.0,,,-86.619096,36.013187,,,0.0,0.0,0.0,0.0,58596.85545569866,-58522.55545569866,318.08823537041127,West,True,,,
1300,25961,1618527200.9,125.65797703737492,0.2724628252567109,30.0,,,-86.6191223,36.0132107,,,0.0,0.0,0.0,0.0,58600.3967224619,-58526.09672246189,317.63072685158704,West,True,,,
1301,25962,1618527201.0,125.8,0.2755994166786694,30.0,,,-86.6191488,36.0132342,,,0.0,0.0,0.0,0.0,58603.93356801589,-58529.63356801589,317.8596367638758,West,True,,,
1302,25963,1618527201.1,125.85977517398362,0.2779865556170998,30.0,,,-86.6191752,36.0132578,,,0.0,0.0,0.0,0.0,58607.47259525393,-58533.17259525393,318.08826093937523,West,True,,,
1303,25964,1618527201.2,125.87685543882186,0.2799248960905851,29.811865841590063,,,-86.6192015,36.0132815,,,0.0,0.0,0.0,0.0,58611.013860597865,-58536.71386059786,318.08826954212566,West,True,,,
1304,25965,1618527201.3,125.97156668429696,0.2817297932480468,29.31177641854753,,,-86.61922779999999,36.013305200000005,,,0.0,0.0,0.0,0.0,58614.55512546642,-58540.25512546642,317.85966241663493,West,True,,,
1305,25966,1618527201.4,125.99752955795212,0.2837021850333464,29.0,,,-86.6192542,36.0133288,,,0.0,0.0,0.0,0.0,58618.09415126967,-58543.79415126967,318.0882866158707,West,True,,,
