,index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
3539,7672,1618957512.0,117.87131939027412,0.010291196315714287,34.0,,,-86.6028023,35.9991027,,,0.0,0.0,0.0,0.0,16737.448817339984,-16663.14881733998,357.82008469179846,West,True
3540,7673,1618957512.1,117.85,0.008673673028551751,34.0,,,-86.6027735,35.9990842,,,0.0,0.0,0.0,0.0,16740.757007517746,-16666.45700751775,357.82006625087564,West,True
3541,7674,1618957512.2,117.8,0.007826902340898296,34.0,,,-86.6027447,35.9990657,,,0.0,0.0,0.0,0.0,16744.065198170993,-16669.76519817099,357.8393152256186,West,True
3542,7675,1618957512.3,117.79883437942713,0.007818466454720913,34.0,,,-86.6027158,35.9990473,,,0.0,0.0,0.0,0.0,16747.373551137236,-16673.073551137237,357.8350491023928,West,True
3543,7676,1618957512.4,117.79848459296466,0.008710841983793797,34.0,,,-86.6026868,35.99902879999999,,,0.0,0.0,0.0,0.0,16750.695852119043,-16676.395852119043,357.82001073744317,West,True
3544,7677,1618957512.5,117.82019793138016,0.010560178821785358,34.16990413138177,,,-86.60265799999998,35.99901029999999,,,0.0,0.0,0.0,0.0,16754.004044198646,-16679.704044198646,357.81999229589843,West,True
3545,7678,1618957512.6,117.80871402942881,0.01340613405118832,34.66897543017131,,,-86.6026292,35.99899179999999,,,0.0,0.0,0.0,0.0,16757.312236753714,-16683.012236753715,357.85837759103134,West,True
3546,7679,1618957512.7,117.81413255105663,0.017265158003975184,35.0,,,-86.6026002,35.9989735,,,0.0,0.0,0.0,0.0,16760.620815305618,-16686.32081530562,357.8349755937421,West,True
3547,7680,1618957512.8,117.81,0.02212159570229799,35.0,,,-86.6025712,35.998955,,,0.0,0.0,0.0,0.0,16763.94311820349,-16689.64311820349,357.82747288419785,West,True
3548,7681,1618957512.9,117.75016101687149,0.02791884517561665,35.0,,,-86.6025423,35.9989365,,,0.0,0.0,0.0,0.0,16767.258362183053,-16692.958362183053,357.83493877504446,West,True
3549,7682,1618957513.0,117.76849189893393,0.0345561077441493,35.0,,,-86.6025133,35.998917999999996,,,0.0,0.0,0.0,0.0,16770.580666042042,-16696.280666042043,357.8349203331733,West,True
3550,7683,1618957513.1,117.7939520132127,0.04188155783858264,35.0,,,-86.6024843,35.9988995,,,0.0,0.0,0.0,0.0,16773.90297038208,-16699.602970382082,357.84342755329317,West,True
3551,7684,1618957513.2,117.88885299160722,0.04969846651546928,35.0,,,-86.6024555,35.99888120000001,,,0.0,0.0,0.0,0.0,16777.19738315028,-16702.89738315028,357.8114995518789,West,True
3552,7685,1618957513.3,117.88156509695291,0.057763268552987614,35.0,,,-86.6024265,35.9988625,,,0.0,0.0,0.0,0.0,16780.533504097886,-16706.233504097887,357.8433909419312,West,True
3553,7686,1618957513.4,117.91294503912927,0.06580225121993248,35.0,,,-86.60239770000003,35.9988442,,,0.0,0.0,0.0,0.0,16783.827917822506,-16709.527917822506,357.81146240308817,West,True
3554,7687,1618957513.5,117.96174276467869,0.07351477713787452,35.0,,,-86.6023687,35.9988255,,,0.0,0.0,0.0,0.0,16787.164039727755,-16712.864039727756,357.8348283818813,West,True
3555,7688,1618957513.6,118.01410292325323,0.0805983545878384,35.0,,,-86.6023397,35.998807,,,0.0,0.0,0.0,0.0,16790.486346470585,-16716.186346470586,357.8507913962071,West,True
3556,7689,1618957513.7,118.01489592316558,0.0867545119611734,35.0,,,-86.6023108,35.99878870000001,,,0.0,0.0,0.0,0.0,16793.787841080233,-16719.48784108023,357.834791563259,West,True
3557,7690,1618957513.8,118.06365110021471,0.09171723673698498,35.0,,,-86.6022818,35.9987702,,,0.0,0.0,0.0,0.0,16797.110148778982,-16722.810148778983,357.85385946753524,West,True
3558,7691,1618957513.9,118.05026916662908,0.09525735244605213,35.0,,,-86.6022527,35.9987518,,,0.0,0.0,0.0,0.0,16800.432666875055,-16726.132666875055,357.85814075369933,West,True
3559,7692,1618957514.0,118.17361013961815,0.09720816373422003,35.0,,,-86.60222370000002,35.9987335,,,0.0,0.0,0.0,0.0,16803.741251686566,-16729.441251686567,357.8624519616902,West,True
